GCC,ACC,SCC,APL,assortativity,diameter,density,r_triangle,node_conn,edge_conn
0.508349609375,0.523388671875,0.6142578125,0.48564453125,-0.1705078125,0.428466796875,0.57841796875,0.160766601562,0.428466796875,0.428466796875
0.491027832031,0.642822265625,0.550231933594,0.488037109375,-0.509765625,0.28564453125,0.53564453125,0.142822265625,0.28564453125,0.28564453125
0.525360107422,0.656585693359,0.537689208984,0.48698425293,-0.504669189453,0.28564453125,0.40397644043,0.0993118286133,0.0,0.0
0.542462384259,0.624240451389,0.424904152199,0.542353877315,-0.120105884693,0.428466796875,0.488118489583,0.119698983652,0.28564453125,0.28564453125
0.313871837798,0.393450055804,0.420991443452,0.525553385417,-0.589076450893,0.428466796875,0.467692057292,0.0646100725446,0.28564453125,0.299246651786
0.78955078125,0.52490234375,0.59619140625,0.491943359375,-0.39013671875,0.428466796875,0.428466796875,0.178588867188,0.0,0.0
0.287109375,0.372406005859,0.0569458007812,0.580261230469,-0.646362304688,0.446319580078,0.388366699219,0.0357055664062,0.28564453125,0.28564453125
0.593587239583,0.576497395833,0.294474283854,0.514811197917,0.0577596028646,0.428466796875,0.392822265625,0.0892791748047,0.0,0.0
0.511322021484,0.360900878906,0.597351074219,0.460998535156,0.313293457031,0.321350097656,0.375,0.0691795349121,0.0,0.0
0.511607776989,0.450539328835,0.511219371449,0.534734552557,-0.0875493829901,0.428466796875,0.514581853693,0.132290926847,0.142822265625,0.142822265625
0.73466796875,0.81396484375,0.828125,0.4404296875,-0.290673828125,0.28564453125,0.6787109375,0.33935546875,0.428466796875,0.428466796875
0.484090169271,0.446478949653,0.540473090278,0.501912434896,-0.451931423611,0.428466796875,0.541585286458,0.142842610677,0.142822265625,0.142822265625
0.591619318182,0.578080610795,0.619495738636,0.579057173295,-0.165654962713,0.5712890625,0.487038352273,0.144475763494,0.142822265625,0.142822265625
0.332329644097,0.304172092014,0.668077256944,0.525553385417,-0.409505208333,0.428466796875,0.376980251736,0.0495910644531,0.0,0.0
0.285617404514,0.340223524306,0.379801432292,0.555609809028,-0.518934461806,0.428466796875,0.420545789931,0.0495910644531,0.142822265625,0.142822265625
0.57041422526,0.607950846354,0.442789713542,0.47812906901,-0.234100341797,0.28564453125,0.565348307292,0.175618489583,0.28564453125,0.28564453125
0.600661057692,0.465069110577,0.646409254808,0.44189453125,0.0354273869441,0.28564453125,0.497239332933,0.157982459435,0.0,0.0
0.0,0.0,1.0,0.505981445312,-1.0,0.28564453125,0.482055664062,0.0,0.357055664062,0.357055664062
0.7900390625,0.83349609375,0.87255859375,0.434448242188,-0.168884277344,0.428466796875,0.732177734375,0.428588867188,0.428466796875,0.428466796875
0.375,0.322875976562,0.529296875,0.5595703125,0.170166015625,0.428466796875,0.46435546875,0.0714111328125,0.28564453125,0.28564453125
0.200927734375,0.15478515625,0.327706473214,0.574846540179,-0.167340959821,0.428466796875,0.413190569196,0.0306047712054,0.142822265625,0.142822265625
