GCC,ACC,SCC,APL,assortativity,diameter,density,r_triangle,node_conn,edge_conn
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.375,0.0,0.1666,0.0476,0.0,0.0,0.0
0.0,0.0,0.0,0.5,-1.0,0.3333,0.0952,0.0,0.0,0.0
0.0,0.0,0.0,0.5625,-1.0,0.3333,0.1428,0.0,0.0,0.0
0.0,0.0,0.0,0.6,-1.0,0.3333,0.1904,0.0,0.0,0.0
0.0,0.0,0.0,0.625,-1.0,0.3333,0.238,0.0,0.0,0.0
0.0,0.0,0.0,0.643,-1.0,0.3333,0.2856,0.0,0.1666,0.1666
0.0,0.0,0.0,0.375,0.0,0.1666,0.0952,0.0,0.0,0.0
0.0,0.0,0.0,0.5,-0.5,0.3333,0.1428,0.0,0.0,0.0
0.0,0.0,0.0,0.5625,-0.6,0.3333,0.1904,0.0,0.0,0.0
0.0,0.0,0.0,0.6,-0.6665,0.3333,0.238,0.0,0.0,0.0
1.0,0.4285,0.0,0.375,0.0,0.1666,0.1428,0.02856,0.0,0.0
0.0,0.0,0.0,0.625,-0.5,0.5,0.1428,0.0,0.0,0.0
0.6,0.3333,0.0,0.5,-0.7144,0.3333,0.1904,0.02856,0.0,0.0
0.0,0.0,0.0,0.675,-0.6665,0.5,0.1904,0.0,0.0,0.0
0.375,0.3096,0.0,0.5625,-0.8057,0.3333,0.238,0.02856,0.0,0.0
0.0,0.0,0.0,0.7,-0.7393,0.5,0.238,0.0,0.0,0.0
0.25,0.3,0.0,0.6,-0.8335,0.3333,0.2856,0.02856,0.0,0.0
0.0,0.0,0.0,0.7144,-0.776,0.5,0.2856,0.0,0.1666,0.1666
0.1765,0.2952,0.0,0.625,-0.848,0.3333,0.3333,0.02856,0.1666,0.1666
0.0,0.0,0.0,0.5,-1.0,0.3333,0.1904,0.0,0.0,0.0
0.0,0.0,0.0,0.725,-0.6665,0.5,0.238,0.0,0.0,0.0
0.0,0.0,0.0,0.5625,-0.8423,0.3333,0.238,0.0,0.0,0.0
0.0,0.0,0.0,0.75,-0.7144,0.5,0.2856,0.0,0.1666,0.1666
0.4285,0.238,0.0,0.6,-0.5625,0.5,0.238,0.02856,0.0,0.0
0.0,0.0,0.0,0.8,-0.6665,0.6665,0.238,0.0,0.0,0.0
0.3,0.2142,0.0,0.65,-0.68,0.5,0.2856,0.02856,0.0,0.0
0.0,0.0,0.0,0.8213,-0.7144,0.6665,0.2856,0.0,0.1666,0.1666
0.2142,0.2047,0.0,0.6787,-0.737,0.5,0.3333,0.02856,0.1666,0.1666
0.0,0.0,0.5713,0.5,0.0,0.3333,0.1904,0.0,0.0,0.0
0.75,0.476,0.5713,0.4375,-0.6665,0.3333,0.238,0.05713,0.0,0.0
0.0,0.0,0.5713,0.6,-0.6665,0.5,0.238,0.0,0.0,0.0
0.5454,0.4285,0.5713,0.525,-0.7144,0.3333,0.2856,0.05713,0.0,0.0
0.0,0.0,0.5713,0.65,-0.7334,0.5,0.2856,0.0,0.0,0.0
0.4,0.4094,0.5713,0.575,-0.7656,0.3333,0.3333,0.05713,0.0,0.0
0.0,0.0,0.5713,0.6787,-0.75,0.5,0.3333,0.0,0.1666,0.1666
0.3,0.4,0.5713,0.607,-0.788,0.3333,0.3809,0.05713,0.1666,0.1666
0.0,0.0,0.0,0.857,-0.8623,0.6665,0.2856,0.0,0.1666,0.1666
0.2307,0.1904,0.0,0.6963,-0.711,0.5,0.3333,0.02856,0.1666,0.1666
0.0,0.0,0.4285,0.7,-0.8,0.6665,0.2856,0.0,0.0,0.0
0.4285,0.3809,0.4285,0.6,-0.7,0.5,0.3333,0.05713,0.0,0.0
0.0,0.0,0.3809,0.75,-0.836,0.6665,0.3333,0.0,0.1666,0.1666
0.3333,0.3618,0.3809,0.643,-0.7437,0.5,0.3809,0.05713,0.1666,0.1666
0.0,0.0,0.7144,0.525,-1.0,0.3333,0.2856,0.0,0.0,0.0
0.6,0.5713,0.7144,0.4875,-0.75,0.3333,0.3333,0.0857,0.0,0.0
0.0,0.0,0.7144,0.6,-0.8667,0.5,0.3333,0.0,0.0,0.0
0.4736,0.543,0.7144,0.55,-0.7637,0.3333,0.3809,0.0857,0.0,0.0
0.0,0.0,0.7144,0.643,-0.8237,0.5,0.3809,0.0,0.1666,0.1666
0.375,0.529,0.7144,0.5894,-0.7812,0.3333,0.4285,0.0857,0.1666,0.1666
0.0,0.0,0.5713,0.6787,-0.931,0.6665,0.3809,0.0,0.1666,0.1666
0.3914,0.514,0.5713,0.607,-0.7754,0.5,0.4285,0.0857,0.1666,0.1666
0.0,0.0,0.857,0.55,-1.0,0.3333,0.3809,0.0,0.0,0.0
0.5,0.6855,0.857,0.525,-0.8,0.3333,0.4285,0.11426,0.0,0.0
0.0,0.0,0.857,0.607,-0.9365,0.5,0.4285,0.0,0.1666,0.1666
0.4138,0.6665,0.857,0.5713,-0.805,0.3333,0.476,0.11426,0.1666,0.1666
0.0,0.0,1.0,0.5713,-1.0,0.3333,0.476,0.0,0.3333,0.3333
0.4285,0.8096,1.0,0.5537,-0.8335,0.3333,0.524,0.1428,0.3333,0.3333
0.0,0.0,0.0,0.375,0.0,0.1666,0.1428,0.0,0.0,0.0
0.0,0.0,0.0,0.5,-0.3333,0.3333,0.1904,0.0,0.0,0.0
1.0,0.4285,0.0,0.375,1.0,0.1666,0.1904,0.02856,0.0,0.0
0.0,0.0,0.0,0.625,0.0,0.5,0.1904,0.0,0.0,0.0
0.6,0.3333,0.0,0.5,-0.0,0.3333,0.238,0.02856,0.0,0.0
0.0,0.0,0.0,0.675,-0.3157,0.5,0.238,0.0,0.0,0.0
0.375,0.3096,0.0,0.5625,-0.3928,0.3333,0.2856,0.02856,0.0,0.0
0.0,0.0,0.0,0.75,-0.3333,0.6665,0.1904,0.0,0.0,0.0
0.5,0.3333,0.0,0.6377,-0.1111,0.5,0.238,0.02856,0.0,0.0
0.6,0.619,0.0,0.525,-0.5,0.3333,0.2856,0.05713,0.0,0.0
0.0,0.0,0.0,0.775,-0.3333,0.6665,0.238,0.0,0.0,0.0
0.3333,0.3096,0.0,0.675,-0.4666,0.5,0.2856,0.02856,0.0,0.0
0.4285,0.6,0.0,0.575,-0.625,0.3333,0.3333,0.05713,0.0,0.0
0.0,0.0,0.0,0.7856,-0.5,0.6665,0.2856,0.0,0.1666,0.1666
0.2307,0.3,0.0,0.6963,-0.591,0.5,0.3333,0.02856,0.1666,0.1666
0.3157,0.5903,0.0,0.607,-0.6826,0.3333,0.3809,0.05713,0.1666,0.1666
0.4285,0.238,0.0,0.6,-0.0345,0.5,0.2856,0.02856,0.0,0.0
0.0,0.0,0.5713,0.5,1.0,0.3333,0.238,0.0,0.0,0.0
0.75,0.476,0.5713,0.4375,0.4,0.3333,0.2856,0.05713,0.0,0.0
0.0,0.0,0.5713,0.6,-0.0,0.5,0.2856,0.0,0.0,0.0
0.5454,0.4285,0.5713,0.525,-0.1476,0.3333,0.3333,0.05713,0.0,0.0
0.75,0.4285,0.0,0.375,-0.25,0.1666,0.238,0.02856,0.0,0.0
0.375,0.3333,0.0,0.7,-0.5,0.5,0.2856,0.02856,0.0,0.0
0.0,0.0,0.0,0.625,-0.6665,0.5,0.238,0.0,0.0,0.0
0.0,0.0,0.0,0.8213,-0.4482,0.6665,0.2856,0.0,0.1666,0.1666
0.5,0.3333,0.0,0.5,-0.3333,0.3333,0.2856,0.02856,0.0,0.0
0.2727,0.3096,0.0,0.732,-0.4917,0.5,0.3333,0.02856,0.1666,0.1666
0.0,0.0,0.0,0.875,-0.25,0.8335,0.238,0.0,0.0,0.0
0.375,0.238,0.0,0.725,-0.2,0.6665,0.2856,0.02856,0.0,0.0
0.4285,0.3333,0.0,0.775,-0.0909,0.6665,0.2856,0.02856,0.0,0.0
0.5,0.524,0.0,0.625,-0.4,0.5,0.3333,0.05713,0.0,0.0
0.0,0.0,0.0,0.893,-0.3333,0.8335,0.2856,0.0,0.1666,0.1666
0.2727,0.2142,0.0,0.75,-0.377,0.6665,0.3333,0.02856,0.1666,0.1666
0.3,0.3096,0.0,0.8037,-0.426,0.6665,0.3333,0.02856,0.1666,0.1666
0.375,0.505,0.0,0.6606,-0.5293,0.5,0.3809,0.05713,0.1666,0.1666
0.0,0.0,0.476,0.725,-0.0909,0.6665,0.2856,0.0,0.0,0.0
0.5,0.4285,0.457,0.65,-0.2444,0.5,0.3333,0.05713,0.0,0.0
0.2727,0.3096,0.457,0.625,-0.4,0.5,0.3333,0.02856,0.0,0.0
0.5293,0.7095,0.4443,0.55,-0.5137,0.3333,0.3809,0.0857,0.0,0.0
0.0,0.0,0.476,0.75,-0.426,0.6665,0.3333,0.0,0.1666,0.1666
0.375,0.4094,0.457,0.6787,-0.4707,0.5,0.3809,0.05713,0.1666,0.1666
0.2,0.3,0.457,0.6606,-0.5405,0.5,0.3809,0.02856,0.1666,0.1666
0.4092,0.6953,0.4443,0.5894,-0.6016,0.3333,0.4285,0.0857,0.1666,0.1666
0.0,0.0,0.7144,0.525,0.125,0.3333,0.3333,0.0,0.0,0.0
0.6,0.5713,0.7144,0.4875,-0.10345,0.3333,0.3809,0.0857,0.0,0.0
0.3333,0.3333,0.0,0.8394,-0.75,0.6665,0.3333,0.02856,0.1666,0.1666
0.4,0.5,0.0,0.6787,-0.563,0.5,0.3809,0.05713,0.1666,0.1666
0.0,0.0,0.3333,0.8213,-0.4583,0.8335,0.3333,0.0,0.1666,0.1666
0.4,0.3809,0.3096,0.7144,-0.3794,0.6665,0.3809,0.05713,0.1666,0.1666
0.2307,0.3096,0.2666,0.732,-0.6,0.6665,0.3809,0.02856,0.1666,0.1666
0.45,0.662,0.251,0.625,-0.538,0.5,0.4285,0.0857,0.1666,0.1666
0.0,0.0,0.643,0.7144,-0.4546,0.6665,0.3809,0.0,0.1666,0.1666
0.45,0.543,0.619,0.6606,-0.424,0.5,0.4285,0.0857,0.1666,0.1666
0.1666,0.3,0.619,0.625,-0.6,0.5,0.4285,0.02856,0.1666,0.3333
0.4614,0.8237,0.6,0.5713,-0.579,0.3333,0.476,0.11426,0.1666,0.3333
0.5,0.4285,0.0,0.5625,-1.0,0.3333,0.2856,0.02856,0.0,0.0
1.0,0.5713,0.5713,0.375,0.0,0.1666,0.2856,0.11426,0.0,0.0
0.8,0.5,0.5713,0.4875,-0.5557,0.3333,0.3333,0.11426,0.0,0.0
0.4614,0.3572,0.3809,0.625,-0.604,0.5,0.3333,0.05713,0.0,0.0
0.6313,0.4714,0.5713,0.55,-0.7085,0.3333,0.3809,0.11426,0.0,0.0
0.2727,0.3333,0.0,0.732,-0.721,0.5,0.3333,0.02856,0.1666,0.1666
0.353,0.3477,0.3572,0.6606,-0.7188,0.5,0.3809,0.05713,0.1666,0.1666
0.5,0.457,0.5713,0.5894,-0.759,0.3333,0.4285,0.11426,0.1666,0.1666
0.0,0.0,0.0,0.5625,0.0,0.3333,0.238,0.0,0.0,0.0
0.0,0.0,0.0,0.65,-0.636,0.5,0.2856,0.0,0.0,0.0
0.0,0.0,0.0,0.9287,-0.6665,0.8335,0.2856,0.0,0.1666,0.1666
0.0,0.0,0.0,0.6963,-0.685,0.5,0.3333,0.0,0.1666,0.1666
0.3333,0.1428,0.0,0.675,-0.3333,0.5,0.2856,0.02856,0.0,0.0
0.25,0.119,0.0,0.7144,-0.4849,0.5,0.3333,0.02856,0.1666,0.1666
0.2727,0.2142,0.0,0.768,-0.4917,0.6665,0.3333,0.02856,0.1666,0.1666
0.6,0.3809,0.4285,0.5625,-0.2856,0.5,0.2856,0.05713,0.0,0.0
0.3333,0.238,0.4285,0.525,-0.3333,0.3333,0.2856,0.02856,0.0,0.0
0.643,0.548,0.643,0.4875,-0.5,0.3333,0.3333,0.0857,0.0,0.0
0.0,0.0,0.5713,0.675,-0.5,0.5,0.2856,0.0,0.0,0.0
